FC Tokyo
VfB Lübeck
PAS Giannina
Yverdon Sport
Vejle BK
SV Rödinghausen
Estoril Praia
Villarreal CF B
New York City
Cádiz CF
FSV Luckenwalde
KRC Genk
Real Betis
Granada CF
