"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Bayern Munich","17","13","2","2","17","13","2","2","34","26","4","4","100","32","+68","82"
"2","Borussia Dortmund","17","11","3","3","17","10","3","4","34","21","6","7","84","41","+43","69"
"3","RB Leipzig","17","7","8","2","17","11","4","2","34","18","12","4","81","37","+44","66"
"4","Borussia Mönchengladbach","17","12","2","3","17","8","3","6","34","20","5","9","66","40","+26","65"
"5","Bayer 04 Leverkusen","17","9","4","4","17","10","2","5","34","19","6","9","61","44","+17","63"
"6","1899 Hoffenheim","17","7","1","9","17","8","6","3","34","15","7","12","53","53","0","52"
"7","VfL Wolfsburg","17","4","7","6","17","9","3","5","34","13","10","11","48","46","+2","49"
"8","SC Freiburg","17","9","2","6","17","4","7","6","34","13","9","12","48","47","+1","48"
"9","Eintracht Frankfurt","17","8","4","5","17","5","2","10","34","13","6","15","59","60","-1","45"
"10","Hertha Berlin","17","6","3","8","17","5","5","7","34","11","8","15","48","59","-11","41"
"11","1. FC Union Berlin","17","8","3","6","17","4","2","11","34","12","5","17","41","58","-17","41"
"12","FC Schalke 04","17","5","7","5","17","4","5","8","34","9","12","13","38","58","-20","39"
"13","Mainz 05","17","5","2","10","17","6","2","9","34","11","4","19","44","65","-21","37"
"14","1. FC Köln","17","6","4","7","17","4","2","11","34","10","6","18","51","69","-18","36"
"15","FC Augsburg","17","5","5","7","17","4","4","9","34","9","9","16","45","63","-18","36"
"16","Werder Bremen","17","2","3","12","17","6","4","7","34","8","7","19","42","69","-27","31"
"R","Fortuna Düsseldorf","17","4","6","7","17","2","6","9","34","6","12","16","36","67","-31","30"
"R","SC Paderborn 07","17","2","2","13","17","2","6","9","34","4","8","22","37","74","-37","20"
