"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Bayern Munich","17","13","2","2","17","11","3","3","34","24","5","5","97","37","+60","77"
"2","Borussia Dortmund","17","13","0","4","17","9","3","5","34","22","3","9","85","52","+33","69"
"3","Bayer 04 Leverkusen","17","10","2","5","17","9","5","3","34","19","7","8","80","47","+33","64"
"4","RB Leipzig","17","11","2","4","17","6","5","6","34","17","7","10","72","37","+35","58"
"5","1. FC Union Berlin","17","10","5","2","17","6","4","7","34","16","9","9","50","44","+6","57"
"6","SC Freiburg","17","8","5","4","17","7","5","5","34","15","10","9","58","46","+12","55"
"7","1. FC Köln","17","9","4","4","17","5","6","6","34","14","10","10","52","49","+3","52"
"8","Mainz 05","17","10","5","2","17","3","2","12","34","13","7","14","50","45","+5","46"
"9","1899 Hoffenheim","17","8","4","5","17","5","3","9","34","13","7","14","58","60","-2","46"
"10","Borussia Mönchengladbach","17","8","4","5","17","4","5","8","34","12","9","13","54","61","-7","45"
"11","Eintracht Frankfurt","17","4","7","6","17","6","5","6","34","10","12","12","45","49","-4","42"
"12","VfL Wolfsburg","17","7","3","7","17","5","3","9","34","12","6","16","43","54","-11","42"
"13","VfL Bochum","17","8","4","5","17","4","2","11","34","12","6","16","38","52","-14","42"
"14","FC Augsburg","17","7","4","6","17","3","4","10","34","10","8","16","39","56","-17","38"
"15","VfB Stuttgart","17","6","4","7","17","1","8","8","34","7","12","15","41","59","-18","33"
"16","Hertha Berlin","17","6","3","8","17","3","3","11","34","9","6","19","37","71","-34","33"
"17","Arminia Bielefeld","17","2","10","5","17","3","3","11","34","5","13","16","27","53","-26","28"
"18","Greuther Fürth","17","3","5","9","17","0","4","13","34","3","9","22","28","82","-54","18"
