"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Bayern Munich","17","11","5","1","17","10","3","4","34","21","8","5","92","38","+54","71"
"2","Borussia Dortmund","17","14","2","1","17","8","3","6","34","22","5","7","83","44","+39","71"
"3","RB Leipzig","17","13","2","2","17","7","4","6","34","20","6","8","64","41","+23","66"
"4","1 FC Union Berlin","17","11","6","0","17","7","2","8","34","18","8","8","51","38","+13","62"
"5","SC Freiburg","17","10","4","3","17","7","4","6","34","17","8","9","51","44","+7","59"
"6","Bayer 04 Leverkusen","17","8","3","6","17","6","5","6","34","14","8","12","57","49","+8","50"
"7","Eintracht Frankfurt","17","9","5","3","17","4","6","7","34","13","11","10","58","52","+6","50"
"8","VfL Wolfsburg","17","6","7","4","17","7","3","7","34","13","10","11","57","48","+9","49"
"9","Mainz 05","17","6","6","5","17","6","4","7","34","12","10","12","54","55","-1","46"
"10","Borussia Mönchengladbach","17","10","3","4","17","1","7","9","34","11","10","13","52","55","-3","43"
"11","1 FC Köln","17","6","5","6","17","4","7","6","34","10","12","12","49","54","-5","42"
"12","1899 Hoffenheim","17","7","2","8","17","3","4","10","34","10","6","18","48","57","-9","36"
"13","Werder Bremen","17","5","2","10","17","5","4","8","34","10","6","18","51","64","-13","36"
"14","VfL Bochum","17","8","2","7","17","2","3","12","34","10","5","19","40","72","-32","35"
"15","FC Augsburg","17","6","4","7","17","3","3","11","34","9","7","18","42","63","-21","34"
"16","VfB Stuttgart","17","5","6","6","17","2","6","9","34","7","12","15","45","57","-12","33"
"R","FC Schalke 04","17","5","5","7","17","2","5","10","34","7","10","17","35","71","-36","31"
"R","Hertha Berlin","17","5","6","6","17","2","2","13","34","7","8","19","42","69","-27","29"
